study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB41565	SAMEA10018441	ERX6693995	ERR7125106	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/006/ERR7125106/ERR7125106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/006/ERR7125106/ERR7125106_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125106/SB002-049-16S-V4_S152_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125106/SB002-049-16S-V4_S152_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018442	ERX6693996	ERR7125107	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/007/ERR7125107/ERR7125107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/007/ERR7125107/ERR7125107_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125107/SI003-034-16S-V4_S163_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125107/SI003-034-16S-V4_S163_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018443	ERX6693997	ERR7125108	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/008/ERR7125108/ERR7125108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/008/ERR7125108/ERR7125108_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125108/SI003-060-16S-V4_S137_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125108/SI003-060-16S-V4_S137_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018444	ERX6693998	ERR7125109	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/009/ERR7125109/ERR7125109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/009/ERR7125109/ERR7125109_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125109/SB002-030-16S-V4_S25_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125109/SB002-030-16S-V4_S25_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018445	ERX6693999	ERR7125110	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/000/ERR7125110/ERR7125110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/000/ERR7125110/ERR7125110_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125110/SB005-046-16S-V4_S11_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125110/SB005-046-16S-V4_S11_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018446	ERX6694000	ERR7125111	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/001/ERR7125111/ERR7125111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/001/ERR7125111/ERR7125111_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125111/SB002-066-16S-V4_S139_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125111/SB002-066-16S-V4_S139_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018447	ERX6694001	ERR7125112	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/002/ERR7125112/ERR7125112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/002/ERR7125112/ERR7125112_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125112/SI003-051-16S-V4_S89_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125112/SI003-051-16S-V4_S89_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018448	ERX6694002	ERR7125113	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/003/ERR7125113/ERR7125113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/003/ERR7125113/ERR7125113_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125113/SI008-067-16S-V4_S78_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125113/SI008-067-16S-V4_S78_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018449	ERX6694003	ERR7125114	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/004/ERR7125114/ERR7125114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/004/ERR7125114/ERR7125114_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125114/SI008-109-16S-V4_S133_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125114/SI008-109-16S-V4_S133_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018450	ERX6694004	ERR7125115	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/005/ERR7125115/ERR7125115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/005/ERR7125115/ERR7125115_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125115/SB005-110-16S-V4_S143_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125115/SB005-110-16S-V4_S143_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018451	ERX6694005	ERR7125116	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/006/ERR7125116/ERR7125116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/006/ERR7125116/ERR7125116_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125116/SI003-084-16S-V4_S127_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125116/SI003-084-16S-V4_S127_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018452	ERX6694006	ERR7125117	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/007/ERR7125117/ERR7125117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/007/ERR7125117/ERR7125117_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125117/SI003-006-16S-V4_S179_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125117/SI003-006-16S-V4_S179_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018453	ERX6694007	ERR7125118	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/008/ERR7125118/ERR7125118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/008/ERR7125118/ERR7125118_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125118/SI008-006-16S-V4_S185_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125118/SI008-006-16S-V4_S185_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018454	ERX6694008	ERR7125119	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/009/ERR7125119/ERR7125119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/009/ERR7125119/ERR7125119_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125119/SB002-012-16S-V4_S102_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125119/SB002-012-16S-V4_S102_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018455	ERX6694009	ERR7125120	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/000/ERR7125120/ERR7125120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/000/ERR7125120/ERR7125120_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125120/SB002-018-16S-V4_S154_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125120/SB002-018-16S-V4_S154_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018456	ERX6694010	ERR7125121	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/001/ERR7125121/ERR7125121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/001/ERR7125121/ERR7125121_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125121/SB005-015-16S-V4_S106_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125121/SB005-015-16S-V4_S106_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018457	ERX6694011	ERR7125122	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/002/ERR7125122/ERR7125122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/002/ERR7125122/ERR7125122_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125122/SB005-027-16S-V4_S155_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125122/SB005-027-16S-V4_S155_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018458	ERX6694012	ERR7125123	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/003/ERR7125123/ERR7125123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/003/ERR7125123/ERR7125123_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125123/SI003-012-16S-V4_S52_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125123/SI003-012-16S-V4_S52_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018459	ERX6694013	ERR7125124	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/004/ERR7125124/ERR7125124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/004/ERR7125124/ERR7125124_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125124/SI008-014-HR-16S-V4_S57_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125124/SI008-014-HR-16S-V4_S57_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018460	ERX6694014	ERR7125125	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/005/ERR7125125/ERR7125125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/005/ERR7125125/ERR7125125_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125125/SI008-025-16S-V4_S160_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125125/SI008-025-16S-V4_S160_L001_R2_001.fastq.gz	
